"classification_id","stg_business_entity_id","classification_type","classification_code","classification_description","created_by","created_date"
"b26608e8-fd4f-2b2d-d61a-446213cd079f","cf49fb42-dd63-1eae-454f-6be3d14c2bbe","individual","Utilities","Y","PFD","2025-05-05 09:25:34.127"
"e986b70a-2229-0260-5c08-e08b583bfa0d","cf49fb42-dd63-1eae-454f-6be3d14c2bbe","individual","Trust","N","PFD","2025-05-05 09:25:34.127"
"5a23a8a2-c698-842b-5a59-051edb2a11d2","cf49fb42-dd63-1eae-454f-6be3d14c2bbe","individual","Fi","N","PFD","2025-05-05 09:25:34.127"
"bff4e62f-9108-4783-78aa-79a745787192","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","bloomberg","Level-1","Industrials","PFD","2025-05-05 09:25:34.127"
"2b4c5241-8a5f-93ae-3f20-d9e62adeb536","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","individual","Fi","N","PFD","2025-05-05 09:25:34.127"
"e488009a-31cf-adcf-ec72-93dd014c2b31","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","individual","Insurance","N","PFD","2025-05-05 09:25:34.127"
"11c30c4f-8e0c-4957-11a4-0990d41a0c85","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","bloomberg","Level-2","Hardware","PFD","2025-05-05 09:25:34.127"
"97ed860f-ab4f-6d79-a385-2d7133662da1","cf49fb42-dd63-1eae-454f-6be3d14c2bbe","individual","Insurance","N","PFD","2025-05-05 09:25:34.127"
"ccea7e99-a47d-efe7-0ee4-1b4159984db7","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","individual","Utilities","N","PFD","2025-05-05 09:25:34.127"
"d430d152-cf03-2482-f3ef-f58591bd8c4d","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","individual","Real_Estate","N","PFD","2025-05-05 09:25:34.127"
"23d25423-cdc0-bfb7-da50-16d73b215d0b","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","individual","Govt","N","PFD","2025-05-05 09:25:34.127"
"35dc8888-a409-2ff2-b31d-f253b6b40fce","cf49fb42-dd63-1eae-454f-6be3d14c2bbe","individual","Govt","N","PFD","2025-05-05 09:25:34.127"
"da0cd814-0c55-6e24-26a1-d39bfdf48c98","cf49fb42-dd63-1eae-454f-6be3d14c2bbe","bloomberg","Level-1","PROFESSIONAL SERVICES","PFD","2025-05-05 09:25:34.127"
"ee5ae0df-ecd0-8507-23ba-8934e634efb0","08a27d25-2cd7-3709-2ebd-31fd5ccdce5f","individual","Trust","N","PFD","2025-05-05 09:25:34.127"
"fae43d77-12d9-7f06-4255-e62d950b25bc","cf49fb42-dd63-1eae-454f-6be3d14c2bbe","bloomberg","Level-2","WASTE MANAGEMENT","PFD","2025-05-05 09:25:34.127"
"ec0ed95f-bbf4-f84b-6685-993ccc169b9f","cf49fb42-dd63-1eae-454f-6be3d14c2bbe","individual","Real_Estate","N","PFD","2025-05-05 09:25:34.127"
